2026-05-10 22:38:52.353,65,A,95.68,POLLING,GLOBAL
2026-05-10 22:38:52.463,72,H,110.25,POLLING,GLOBAL
2026-05-10 22:38:52.649,32,Space,185.98,POLLING,GLOBAL
2026-05-10 22:38:52.869,68,D,219.4,POLLING,GLOBAL
2026-05-10 22:38:52.980,65,A,111.18,POLLING,GLOBAL
2026-05-10 22:38:53.090,82,R,109.58,POLLING,GLOBAL
2026-05-10 22:38:53.373,73,I,283.25,POLLING,GLOBAL
2026-05-10 22:38:53.574,32,Space,200.94,POLLING,GLOBAL
2026-05-10 22:38:53.793,70,F,218.9,POLLING,GLOBAL
2026-05-10 22:38:53.995,79,O,202.32,POLLING,GLOBAL
2026-05-10 22:38:54.183,76,L,187.96,POLLING,GLOBAL
2026-05-10 22:38:54.355,68,D,172.33,POLLING,GLOBAL
2026-05-10 22:38:54.540,69,E,184.57,POLLING,GLOBAL
2026-05-10 22:38:54.729,82,R,189.28,POLLING,GLOBAL
2026-05-10 22:38:54.931,32,Space,201.79,POLLING,GLOBAL
2026-05-10 22:38:55.200,90,Z,268.95,POLLING,GLOBAL
2026-05-10 22:38:55.481,69,E,281.62,POLLING,GLOBAL
2026-05-10 22:38:56.043,82,R,561.25,POLLING,GLOBAL
2026-05-10 22:38:56.232,79,O,189.51,POLLING,GLOBAL
2026-05-10 22:38:56.462,32,Space,230.14,POLLING,GLOBAL
2026-05-10 22:38:56.636,78,N,173.62,POLLING,GLOBAL
2026-05-10 22:38:56.820,89,Y,184.2,POLLING,GLOBAL
2026-05-10 22:38:56.947,65,A,126.44,POLLING,GLOBAL
2026-05-10 22:38:58.775,13,Enter,1828.37,POLLING,GLOBAL
2026-05-10 22:39:46.515,18,Alt,47740.08,POLLING,GLOBAL
2026-05-10 22:39:46.518,164,Alt,2.99,POLLING,GLOBAL
2026-05-10 22:39:57.116,18,Alt,10597.84,POLLING,GLOBAL
2026-05-10 22:39:57.119,164,Alt,3.38,POLLING,GLOBAL
2026-05-10 22:39:59.120,74,J,2000.7,POLLING,GLOBAL
2026-05-10 22:39:59.213,65,A,93.06,POLLING,GLOBAL
2026-05-10 22:39:59.338,68,D,125.36,POLLING,GLOBAL
2026-05-10 22:39:59.481,73,I,142.38,POLLING,GLOBAL
2026-05-10 22:39:59.713,32,Space,232.3,POLLING,GLOBAL
2026-05-10 22:40:00.262,68,D,549.13,POLLING,GLOBAL
2026-05-10 22:40:00.402,73,I,140.05,POLLING,GLOBAL
2026-05-10 22:40:00.574,32,Space,172.15,POLLING,GLOBAL
2026-05-10 22:40:00.731,75,K,156.43,POLLING,GLOBAL
2026-05-10 22:40:00.873,69,E,141.92,POLLING,GLOBAL
2026-05-10 22:40:01.000,76,L,127.52,POLLING,GLOBAL
2026-05-10 22:40:01.223,85,U,222.97,POLLING,GLOBAL
2026-05-10 22:40:01.348,65,A,124.82,POLLING,GLOBAL
2026-05-10 22:40:01.488,82,R,139.49,POLLING,GLOBAL
2026-05-10 22:40:01.774,75,K,286.39,POLLING,GLOBAL
2026-05-10 22:40:01.857,65,A,83.27,POLLING,GLOBAL
2026-05-10 22:40:01.976,78,N,118.96,POLLING,GLOBAL
2026-05-10 22:40:02.134,32,Space,157.52,POLLING,GLOBAL
2026-05-10 22:40:02.229,68,D,95.35,POLLING,GLOBAL
2026-05-10 22:40:02.370,85,U,140.82,POLLING,GLOBAL
2026-05-10 22:40:02.592,76,L,221.68,POLLING,GLOBAL
2026-05-10 22:40:02.811,85,U,219.27,POLLING,GLOBAL
2026-05-10 22:40:02.949,32,Space,138.64,POLLING,GLOBAL
2026-05-10 22:40:03.122,89,Y,173.01,POLLING,GLOBAL
2026-05-10 22:40:03.218,65,A,95.96,POLLING,GLOBAL
2026-05-10 22:40:03.596,32,Space,377.69,POLLING,GLOBAL
2026-05-10 22:40:04.412,89,Y,815.47,POLLING,GLOBAL
2026-05-10 22:40:04.537,65,A,125.84,POLLING,GLOBAL
2026-05-10 22:40:04.636,78,N,98.98,POLLING,GLOBAL
